这	這
仿	倣
载	載
桌	鼈
卢	盧
诺	諾
偷	偸
伙	夥
纯	純
课	課
厉	鼇
营	営
奶	黨
启	啓
纷	紛
摆	擺
弹	弾
财	財
赏	賞
盘	盤
墙	牆
爸	點
丰	豐
颇	頗
赞	賛
圆	圓
绍	紹
纵	縦
贾	賈
执	執
虑	慮
烦	煩
爹	黐
吓	嚇
闹	鬧
鱼	魚
缘	縁
闲	閑
妮	黌
骑	騎
镜	鏡
厅	庁
诚	誠
烧	焼
倾	傾
韩	韓
户	戸
丛	叢
绿	緑
惯	慣
抢	搶
项	項
萧	蕭
镇	鎮
岛	島
荣	栄
搞	鎬
跃	躍
颜	顔
审	審
软	軟
拥	擁
贴	貼
础	礎
谋	謀
飘	飄
训	訓
闭	閉
尘	塵
穷	窮
汤	湯
忧	憂
荡	蕩
碰	麭
蓝	藍
净	淨
辩	辯
访	訪
苍	蒼
愤	憤
扑	撲
萨	薩
县	県
岂	豈
奋	奮
夺	奪
庆	慶
泽	澤
轮	輪
针	針
监	監
宽	寛
锋	鋒
绪	緒
迟	遅
侧	側
肃	粛
鸡	鶏
洁	潔
仪	儀
稳	穏
乌	烏
躲	躱
郑	鄭
彻	徹
销	銷
滚	滾
鸟	鳥
废	廃
疯	瘋
聪	聡
测	測
涉	渉
姊	姉
袭	襲
狱	獄
毁	毀
饮	飲
阅	閲
检	検
倘	麪
傻	麩
缩	縮
尝	嘗
浓	濃
丫	麥
乔	麕
挡	麌
赛	賽
货	貨
揭	掲
协	協
贼	賊
厌	厭
输	輸
骗	騙
丧	喪
躺	麁
奖	奨
桥	橋
玛	瑪
劝	勧
逻	邏
鸣	鳴
拖	鹽
减	減
扫	掃
损	損
闷	悶
详	詳
烂	爛
库	庫
朵	朶
嘿	鹹
绕	繞
冯	馮
吕	呂
绘	絵
赖	頼
哼	鷽
码	碼
颤	顫
竞	競
贫	貧
帅	帥
阁	閣
姬	鷭
贯	貫
浑	渾
丢	鷏
暂	暫
舰	艦
瞪	鷆
夹	夾
饰	飾
俩	倆
兽	獸
坛	壇
贤	賢
宾	賓
锁	鎖
莲	蓮
牵	牽
睁	諍
轰	轟
汇	匯
腾	騰
额	額
鉴	鑑
辉	輝
缠	纏
唤	喚
讯	訊
雾	霧
迁	遷
恼	悩
拼	並
铺	舗
订	訂
阔	闊
腊	臘
龄	齢
帐	帳
皱	皺
挣	錚
扭	紐
赋	賦
驾	駕
购	購
涂	塗
嗯	鶺
颗	顆
扩	拡
艳	艶
瘦	痩
喻	喩
祸	禍
艰	艱
扯	鶸
裤	鷁
踢	鷄
凯	凱
逊	遜
钢	鋼
脏	臓
庙	廟
递	逓
锐	鋭
摔	鶲
抚	撫
鸿	鴻
砍	鶤
盯	鵺
趋	趨
晕	暈
娇	嬌
挤	擠
钻	鑚
纽	鈕
键	鍵
俱	倶
铜	銅
绳	縄
悬	懸
络	絡
贡	貢
鹏	鵬
怔	鵯
喂	鶫
讽	諷
兹	茲
违	違
吞	呑
炼	煉
嘻	鶇
驱	駆
灾	災
谱	譜
颂	頌
扰	擾
伪	偽
笼	篭
辆	輌
猎	猟
饿	餓
肤	膚
绩	績
亏	虧
喷	噴
枫	楓
污	汚
赌	賭
扔	鵙
吵	鵐
诞	誕
畅	暢
阐	闡
赢	贏
拦	攬
润	潤
唉	鵤
锦	錦
懒	懶
斩	斬
签	簽
撑	鵞
齿	歯
罚	罰
拨	撥
盼	鵈
拟	擬
诱	誘
琼	瓊
驰	馳
卧	臥
宪	憲
邮	郵
樱	桜
缝	縫
饶	饒
贺	賀
讶	訝
综	綜
栏	欄
沟	溝
谨	謹
庞	厖
疗	療
迈	邁
挖	窪
摄	摂
渴	渇
铃	鈴
饱	飽
凑	湊
纠	糾
柜	櫃
烛	燭
颠	顛
婴	嬰
啸	嘯
牺	犠
帕	袙
览	覧
贪	貪
绵	綿
婷	鵆
闯	闖
啡	鴾
鹰	鷹
谦	謙
焰	焔
邻	隣
窝	窩
胁	脇
谅	諒
币	幣
肠	腸
顽	頑
骚	騒
纹	紋
纲	綱
咖	鵁
斋	斎
呜	嗚
脖	鴒
删	刪
泼	溌
掷	擲
频	頻
镖	驃
沪	滬
歧	鵄
哎	鶯
龟	亀
赠	贈
仑	侖
颈	頚
晌	鴪
耸	聳
衬	襯
坠	墜
绣	綉
愣	鴃
驶	駛
玫	鳫
询	詢
钉	釘
蕴	蘊
赐	賜
谐	諧
邓	鴈
砸	鳰
锅	鍋
鹤	鶴
诡	詭
眨	詐
驻	駐
贱	賎
驳	駁
宠	寵
厕	厠
哑	唖
莹	瑩
亿	億
叠	畳
骇	駭
渔	漁
颊	頬
摊	攤
谎	鳧
缚	縛
帘	簾
钦	欽
轨	軌
筹	籌
窜	竄
钧	鈞
嚷	鱶
溃	潰
煞	鱧
辽	遼
贬	貶
轩	軒
尬	鱚
瞒	瞞
鸦	鴉
搂	僂
尴	鰾
钩	鈎
锡	錫
绑	鱆
囊	嚢
饥	飢
谊	誼
谬	謬
赚	賺
甩	鱇
窥	窺
糕	鰰
盐	塩
咕	鰡
竖	竪
狮	獅
胀	脹
贞	貞
辅	輔
沧	滄
诵	誦
纤	繊
铭	銘
偿	償
骄	驕
谭	譚
潇	瀟
坟	墳
哗	嘩
纱	紗
妆	粧
荆	荊
羡	羨
搁	擱
俞	兪
哟	鰤
诧	詫
链	鏈
壶	壷
贸	貿
滥	濫
赔	賠
耍	鰛
钗	釵
仓	倉
债	債
喔	鰮
渗	滲
涩	渋
冻	凍
灿	燦
沦	淪
踩	採
棵	鰄
谣	謡
谜	謎
聂	聶
趟	鰊
琐	瑣
颖	穎
磕	鰒
砰	鰈
腻	膩
钥	鑰
侄	姪
砖	甎
涨	漲
啥	鰆
惩	懲
陡	闘
饼	餅
逛	絋
讳	諱
诀	訣
毙	斃
滩	灘
贩	販
嗓	鰌
媳	鰉
岗	崗
叁	鰔
捡	揀
厢	廂
尧	尭
铸	鋳
讥	譏
伞	傘
骤	驟
塌	鰕
轿	轎
旷	昿
俏	鯰
岭	嶺
芷	鯱
缕	縷
壳	殻
秃	禿
储	儲
娱	娯
咪	鯲
肿	腫
账	鰺
侣	侶
蜡	蝋
栋	棟
绽	綻
咦	鯔
胧	朧
胳	鯣
侦	偵
钰	鯒
妒	妬
鲍	鮑
澜	瀾
矿	鉱
郝	鯑
恳	懇
桢	鯏
焕	煥
缪	繆
趴	鯆
溅	濺
撇	鮹
挪	鮴
霉	黴
骆	駱
垃	鮨
啪	鮠
圾	鮗
烁	爍
胶	膠
挚	摯
凳	鮖
惭	慚
绮	綺
岚	嵐
烤	栲
鸳	鴛
驴	驢
驼	駝
眯	鮓
颓	頽
笺	箋
剂	剤
舆	輿
桩	鬪
呐	吶
拢	隴
庐	廬
闺	閨
阎	閻
诊	診
捣	擣
篮	籃
舱	艙
顷	頃
衔	銜
鸭	鴨
吱	鬨
觅	覓
骏	駿
佣	傭
浆	漿
贷	貸
诈	鬥
碟	鬚
孽	鬘
绸	綢
鹅	鵝
詹	鬆
冈	岡
琪	髷
钞	鈔
巩	鞏
鸯	鴦
呕	嘔
烫	髱
稣	髴
怅	悵
搅	撹
咚	髮
筷	髣
嗡	髢
蓦	驀
鹊	鵲
巢	巣
莺	鴬
硕	碩
凿	鑿
膛	髞
蚀	蝕
啤	體
垫	驫
嘟	驗
窦	竇
烘	驛
酿	釀
铮	驅
鸠	鳩
盏	盞
拣	騷
咧	駲
绅	紳
锤	錘
揪	駮
嚣	囂
眶	馼
垒	塁
陕	陜
琏	饑
虏	虜
勋	勲
萝	蘿
轴	軸
垄	壟
锻	鍛
狈	狽
诬	誣
矫	矯
敛	歛
绷	繃
滨	濱
绰	綽
娅	讚
诛	誅
瞄	饐
祯	禎
筠	饂
蚁	蟻
粪	糞
汹	洶
荫	蔭
垮	誇
诏	詔
绒	絨
咙	龍
诅	詛
捂	餽
芜	蕪
颐	頤
辫	辮
姗	餬
阀	閥
宓	餠
摹	餤
浊	濁
惕	餝
拎	餘
薰	薫
阱	餔
笃	篤
秽	穢
砚	硯
钓	釣
蹦	飃
搔	掻
捞	撈
袜	襪
龚	颱
觑	颪
缎	緞
噢	顳
嗦	顯
煜	顋
酱	醤
帧	幀
帜	幟
窍	竅
噩	顏
侨	僑
谴	譴
箫	簫
鹃	鵑
扳	鈑
蝇	蝿
悯	憫
铅	鉛
赎	贖
惫	憊
缀	綴
绎	繹
嚎	頸
圳	韲
绞	絞
炜	韈
诠	詮
妞	韆
瘾	鞴
掐	鞐
羁	羈
锥	錐
捆	梱
渲	鞦
诫	誡
颁	頒
谛	諦
翘	翹
嘎	鞨
浇	澆
狞	獰
炽	熾
涟	漣
聋	聾
绊	絆
泻	瀉
衮	袞
诃	訶
橱	鞜
瘫	鞆
忏	懴
睬	靺
舔	鞁
沅	靹
泸	瀘
疤	靱
惮	憚
晖	暉
镶	驤
挠	撓
谕	諭
澈	靤
噜	櫓
鳄	鰐
噗	靜
闵	閔
辙	轍
珑	瓏
谏	諌
呸	靉
虾	蝦
婧	靈
跄	蹌
娓	靆
揽	霤
迳	逕
璐	霙
兑	兌
惋	輓
唬	雜
讼	訟
嘀	襍
雯	隸
韧	靭
鬓	鬢
匀	隱
阙	闕
贿	賄
崭	嶄
轼	軾
盔	險
蚂	陦
抨	陝
鳞	鱗
嬷	陞
钝	鈍
浒	滸
啧	嘖
闽	陏
屉	阯
鞑	韃
鳌	鰲
铲	阨
呛	闢
恺	關
拽	闍
驯	馴
肮	濶
憋	閧
颔	頷
踌	躊
邢	閠
娄	婁
踱	鈬
炫	鉉
喽	閙
鸽	鴿
飕	閖
汴	閊
涡	渦
慑	懾
讪	閇
氧	钁
驿	駅
棱	薐
篱	籬
萤	蛍
辗	輾
啃	墾
婶	鑽
谟	謨
颅	顱
缴	鑵
扒	釟
俨	儼
拧	檸
栈	桟
绢	絹
谤	謗
灶	竃
哆	鈩
诣	詣
俭	倹
踹	鑪
栅	柵
馒	饅
辖	轄
枣	棗
叽	鑢
袅	嫋
钊	鑛
瞅	鑄
赘	贅
漩	鑒
婊	鑁
盎	鐡
揍	輳
阑	闌
纨	鐵
唠	癆
缅	緬
佬	鐶
皂	鹸
辄	輒
驭	馭
韬	韜
唧	喞
糙	鐇
炕	鐓
亩	畝
呃	鐔
唷	鐚
缭	繚
绛	絳
侥	僥
诲	誨
槛	檻
亵	褻
馈	饋
坞	塢
碳	鏝
纣	紂
吨	噸
抿	鏥
铐	鎹
渎	涜
谍	諜
锯	鋸
坷	鎔
邹	鄒
讹	訛
铎	鐸
蔷	薔
浏	瀏
蹬	鐙
攒	攅
纺	紡
榷	鎭
吆	鍖
隽	雋
恻	惻
纭	紜
嬴	鍮
萦	鍼
嗳	鍠
钮	鍜
纬	緯
狰	錻
榆	楡
疮	瘡
搀	讒
锣	鑼
缉	緝
蹑	躡
掳	錵
簌	錺
衅	釁
绥	綏
瞩	矚
桨	錣
驹	駒
瞟	錢
喳	鍄
蛊	蠱
蹭	鋺
啷	錏
湄	鋩
哧	銛
嘈	獎
缔	締
癫	癲
沥	瀝
刁	鉐
哝	儂
鸥	鴎
锄	鋤
崽	銕
骷	鉈
忡	鉅
掺	參
袄	襖
诘	詰
嗒	釿
贻	貽
雳	靂
烬	燼
酝	釶
苇	葦
啬	嗇
茧	繭
颉	頡
篡	簒
褚	釼
锢	錮
蜕	蛻
砆	釛
碔	釡
偎	釖
饵	餌
钳	鉗
疙	釐
阖	闔
诂	詁
绫	綾
鲸	鯨
蕙	釋
璜	醯
瘩	醫
摒	醂
谒	謁
娴	嫻
嵇	酳
缰	酘
轶	軼
骋	騁
烨	酖
怆	愴
髅	髏
涧	澗
烩	邉
偌	遲
肾	腎
跺	隨
毡	氈
巅	巓
玺	璽
钵	鉢
辕	轅
绚	絢
飙	飆
愫	遶
赃	賍
渍	漬
瑷	遯
憨	遞
谚	諺
诽	誹
骡	騾
蛰	蟄
缥	縹
荃	遖
擎	遉
楣	逎
捅	逹
癞	癩
蔼	藹
乓	逧
籁	藾
窑	窯
晗	迴
悻	邇
铛	鐺
跷	磽
歼	殱
濒	瀕
琦	迯
睽	迚
滢	辷
骈	駢
忒	辭
镑	轣
雏	雛
啰	轢
伫	佇
谑	謔
缈	緲
涤	滌
匾	轜
锈	銹
炅	轗
乒	轉
蹋	轌
鲨	鯊
谙	諳
戾	輹
谆	諄
矶	磯
霭	靄
飒	颯
谪	謫
痪	渙
跤	輛
拴	輙
嗨	軣
礴	軈
屿	嶼
赂	賂
涔	軅
啐	躾
暧	曖
纾	軆
鸾	鸞
轧	軋
绯	緋
坝	躰
贰	貳
铿	鏗
嚅	躙
翟	躔
纶	綸
抡	躄
鹦	鸚
闸	閘
搐	蹠
滤	濾
彤	蹤
榨	搾
胭	蹐
镯	踴
魇	魘
陇	踰
恸	慟
呗	唄
墩	踐
枭	梟
贮	貯
瘪	跿
惦	踈
缨	纓
攥	跼
靶	赱
姒	贔
潆	贓
妩	贐
夔	贊
匮	匱
脍	膾
汩	賻
辍	輟
筛	篩
锭	錠
睐	賣
欤	歟
翎	賤
咝	貮
挞	撻
讷	訥
嗖	貭
饲	飼
邺	戝
脓	膿
钏	釧
漪	豼
喵	貎
洼	貍
玷	霑
诙	詼
缆	纜
霁	霽
饺	餃
殡	殯
荧	塋
闩	閂
鹗	鶚
锚	錨
缤	繽
锵	鏘
弈	豬
陨	隕
驸	豎
晾	谺
撂	讙
阉	閹
痹	痺
嚓	讌
泾	讀
蓓	譽
璇	譯
缄	緘
缜	譟
卤	鹵
饷	餉
荤	葷
懵	譖
辐	輻
惬	證
炖	燉
忑	譌
谥	謚
谗	譁
罡	謠
鹉	鵡
涣	諡
铠	鎧
馋	謌
镣	鐐
忐	諠
绀	紺
掂	諫
膑	諚
掰	誂
峦	巒
叼	觸
谧	謐
茬	靫
撬	觧
滇	觝
菀	觀
蹒	蹣
靳	覽
猬	蝟
篓	簍
虬	覺
囔	覩
剁	覊
垅	覈
撅	襾
垦	襷
躏	躪
鼢	襴
鹫	鷲
怂	慫
汶	襭
懑	懣
嗫	囁
觞	觴
咔	哢
阕	褝
牍	牘
诩	襌
琨	褞
鲤	鯉
樨	褌
撵	褄
甭	裲
媲	裝
菇	裄
砾	礫
挛	攣
讴	謳
酗	袿
轲	軻
拄	袰
蘸	袮
熠	袗
镰	鎌
谄	諂
诋	詆
荪	袵
咻	衵
鹂	衞
栾	欒
荔	衒
馁	餒
骥	驥
峒	衂
骁	驍
桅	衄
毗	蠻
馅	餡
瘸	蠧
龊	齪
饯	餞
窠	蠶
抠	蠑
剐	蠎
龌	齷
柠	蟷
斓	蠍
犷	蠏
颍	潁
稹	蟲
囱	蟇
琛	蟐
靓	螢
蛐	蠅
呓	囈
刨	蝪
哒	蝨
岖	嶇
捋	蜑
闾	閭
嗬	蛯
勰	蛬
骧	蠣
腼	靦
刽	蚰
榭	號
啕	乕
羿	虍
喏	蘰
坍	蘆
鹭	鷺
捎	蘋
婺	蘓
焘	藥
谀	諛
镐	薹
颦	顰
痉	痙
崆	蕷
梆	藪
镂	鏤
掇	薑
戕	薀
脐	臍
蜗	蝸
咿	蕋
瞌	蘂
翱	蕣
褛	褸
熵	蕀
臊	蔔
谩	謾
龛	龕
恿	慂
搪	溏
璀	蔕
诌	蔟
骞	騫
鸪	鴣
嘭	蔘
褴	襤
胰	蓆
妪	嫗
盹	蓚
啮	噛
娣	蒻
榄	欖
泞	濘
坳	蓙
侬	蒟
炀	煬
皑	皚
娲	葢
辇	輦
鳖	葹
骊	驪
鹧	鷓
姝	葯
饨	飩
腌	萬
辘	轆
婕	葮
玑	蒭
撷	蒄
暨	曁
阂	蕚
绾	綰
铨	銓
钺	鉞
俪	儷
昙	曇
驮	駄
赡	贍
嵘	萪
孪	菻
傥	儻
驷	駟
跻	躋
淄	蔆
淖	萠
佟	萢
虢	菷
峥	崢
砭	菎
桦	枠
璨	菫
擞	萓
昕	菴
贽	贄
舀	荵
蹿	荳
鹄	鵠
谶	讖
倌	莵
咛	嚀
嫔	嬪
螃	莊
磷	莇
镌	鐫
獠	茣
挎	莖
氲	莟
龇	莚
闰	閏
胫	脛
诰	誥
摞	茘
谲	譎
唰	荅
噼	茖
噔	苙
粼	茆
嘤	嚶
呦	苺
裆	襠
蛀	苳
怵	艸
馄	鯤
庾	艷
溉	漑
涮	舮
荟	薈
殇	殤
摈	擯
俅	艪
噶	艨
睑	瞼
觎	覦
镳	艢
刍	芻
嬗	艟
磺	艚
犊	犢
锲	艝
绶	綬
郸	鄲
蜓	艀
莘	舩
漳	舖
鸨	鴇
殁	歿
咭	舊
铉	與
鹳	鸛
槟	檳
搽	臺
坨	臟
觊	覬
饬	飭
堑	塹
灏	臈
闳	臙
颢	臑
琮	膽
嗑	膸
蟑	膵
愠	慍
榈	櫚
咂	膰
糗	膓
贲	賁
膻	羶
鸢	鳶
掸	腟
绉	膣
泠	膤
偻	膕
碉	膃
诨	諢
盅	腦
睢	脣
臃	脩
蹩	肬
嶙	冐
蘑	肭
嗥	肅
仨	聽
赣	聹
绌	聰
扪	捫
忪	聲
峋	聨
祜	聢
镀	鍍
颚	顎
倜	聟
镬	耡
鹪	鷦
靥	靨
圯	飜
叵	翆
揿	譱
茁	羮
觐	覲
仃	羣
挲	羇
剜	羃
铢	銖
鑫	羂
篙	罸
氢	輕
泵	罧
罂	罌
蓟	薊
卟	罠
芮	罎
氨	鮟
骅	纎
辔	轡
赊	纖
苯	纔
迤	纐
徜	纒
鹘	鶻
邕	續
坯	繿
潢	緕
菡	纃
邋	鑞
歆	繻
娆	繼
芊	繩
踮	鈿
碱	繪
鬃	繙
籽	繖
牯	繧
鲧	鯀
遢	縺
聩	繦
颏	縱
跎	縒
垛	縡
埂	縣
耷	縅
诮	誚
镛	緻
咣	緤
飓	颶
铀	綟
殓	緜
殒	殞
徉	綯
侩	總
饪	綫
昀	綵
锴	綛
箩	絽
煲	襃
徕	徠
焱	經
岜	絣
飨	饗
摁	絏
嗲	絎
缙	縉
邈	絖
铝	紵
钙	紮
纫	絅
诟	詬
鼹	糺
凫	鳬
椭	橢
骛	糴
缢	縊
傣	糒
噙	糘
鹜	鶩
淼	糂
锹	鍬
呤	糀
滟	粨
踽	粡
聃	粫
钿	粢
炷	粭
杈	粐
浃	浹
搡	粃
赅	籵
晔	曄
讦	訐
旎	籖
恹	籤
玮	籟
焯	籘
轸	軫
奁	奩
玟	籐
跆	籏
恽	籔
噱	簷
钎	篶
鸵	鴕
橐	簗
蘅	簓
灞	簀
藓	蘚
殚	殫
诿	籠
侪	儕
忾	愾
旖	簔
趄	簑
缛	縟
矸	篏
绡	箙
帏	幃
碴	箏
祛	箒
谌	箚
鼐	箟
銮	鑾
瘀	箘
嘁	筬
狯	獪
裱	筰
呲	筴
嗝	筥
囫	筅
馔	饌
罄	筍
嘹	筺
骓	騅
囵	笶
牖	笵
沏	笘
阗	笂
瓯	甌
蚱	竢
遛	竡
樾	竝
痨	竚
蒯	竓
堇	竏
誊	謄
讫	訖
诳	誑
馊	竍
郦	竊
螅	窰
俦	儔
鲲	竈
膘	穽
韪	龝
悱	穩
桠	椏
乩	穉
衩	穃
姘	稾
怄	稱
钠	稟
醮	稙
溧	稘
铄	鑠
颧	顴
畹	秡
浔	潯
栊	槞
姣	秬
觥	禮
氯	禪
噘	齋
锏	繝
赝	贋
缮	繕
秸	禝
疟	瘧
缦	縵
馍	祿
哔	祕
钤	礙
箧	篋
鄱	礑
赁	賃
雠	讎
飏	礒
趔	礇
铖	磚
奂	奐
傩	儺
迨	磑
蔺	藺
篑	簣
婵	嬋
氖	碯
獐	碪
赈	賑
缁	緇
烜	碵
绺	碆
侗	硴
镗	礪
邝	砠
飚	礦
擤	矼
涿	矇
饴	飴
骠	瞹
闱	瞶
骢	眛
橹	眥
酮	眞
谯	眤
颀	盻
馏	餾
诤	蘯
烊	盪
荚	莢
煨	盡
囡	皹
哐	皰
琰	皃
啭	囀
鸩	鴆
绦	絛
掼	皀
鳅	鰍
颌	發
讧	訌
遴	癶
媪	媼
铤	癧
蔻	癪
镭	癨
簦	癢
纥	癡
鲈	鱸
澍	癜
摭	癈
穑	穡
诓	瘻
屣	瘉
荦	犖
钹	痳
玎	痲
茈	痃
囤	疳
怼	疂
栉	櫛
蝼	螻
劢	疉
邛	疊
昱	疇
镊	鑷
瓴	當
汜	畭
蹰	畫
芾	畧
缟	縞
谖	畩
椠	槧
镫	畆
珏	畉
犟	畊
殛	畍
妫	畄
樯	檣
纰	紕
龃	齟
鱿	尢
锌	甼
濑	瀬
骜	甦
峤	甞
丏	甕
鄢	甅
毂	轂
夯	甃
碜	瓸
龉	齬
讣	訃
哙	瓱
崧	瓰
咩	瓲
蕤	瓩
苕	瓧
蕻	瓔
蝈	幗
唁	珸
臬	瑯
篾	璢
佥	僉
撸	珎
逦	獻
锉	獵
蜇	獨
魉	魎
栀	梔
蔫	猯
喑	狹
诶	狢
酶	狆
胺	犲
莼	蓴
鹑	鶉
趼	犧
獭	獺
庋	犇
赓	犂
鸱	鴟
繇	牴
儆	牋
绻	綣
饽	牀
艄	爼
讵	爲
铡	爭
趿	爐
蒺	燿
颛	燵
荠	薺
嘏	燬
娈	燒
骘	隲
岘	燗
鬈	熕
锩	燻
纡	紆
秆	稈
黩	黷
棂	櫺
埙	煖
顼	熈
帼	煕
锷	鍔
祂	烋
啵	烱
诒	詒
缱	灣
鸷	鷙
馑	饉
喱	竰
鳗	鰻
暍	灑
茕	煢
骐	騏
郴	瀰
狲	瀁
髡	瀋
涝	濛
谔	諤
猢	濔
焊	駻
伧	濕
淝	濟
踯	躑
赍	齎
谡	謖
轫	澪
靛	濆
廪	廩
猱	澣
抟	摶
垩	堊
渌	澑
唿	濳
镞	鏃
瓒	潛
嘣	澀
钾	澁
砝	滷
铩	滯
酰	滉
挹	溂
碛	磧
掮	滿
洚	渟
蜢	湶
吖	渮
煊	淕
洱	淺
驽	駑
喁	淒
邬	渕
捭	濤
鳏	鰥
谝	諞
耦	浤
镔	洳
餍	洟
觏	覯
妤	泙
鲫	沺
璩	泝
毽	沒
嗵	汳
筚	篳
铰	沚
姹	沍
秾	汢
潞	氣
竽	毬
撺	毟
枰	毆
莒	殼
氮	殲
阊	殪
庑	廡
阆	殕
珩	殘
犄	殀
獾	歸
猡	歡
摀	歐
龈	齦
勖	飮
崴	盜
锱	錙
莆	欟
孬	鬱
辋	欅
茏	蘢
阄	鬮
伥	櫻
焖	櫟
乜	櫑
訇	櫞
佘	蘗
阏	閼
饫	飫
滦	檢
砉	檍
鹞	鷂
蜮	樢
訾	樸
嫫	橸
锃	樶
谠	橲
悭	慳
钡	樌
绔	樓
汛	櫁
雒	樒
觋	覡
氐	槫
瑭	樔
荞	蕎
龢	槭
诔	誄
榫	樞
綦	槹
夤	權
鲠	樛
兖	樂
滁	槨
荑	榠
泮	榑
朓	樮
邳	槝
挝	榾
佤	槓
橛	榿
撄	榮
彀	榲
仵	楪
荛	蕘
栎	檪
圮	榁
崤	楙
郜	楴
逯	椹
铳	銃
犍	楾
剡	楜
轾	輊
郇	棆
杌	椡
蕲	椣
涪	椚
荨	蕁
狻	椪
阒	闃
牦	椨
缒	縋
荥	棯
扃	椥
洄	椄
黢	齲
辏	椶
畀	棧
嚭	棔
沤	椌
癣	癬
洹	棡
屌	椦
琊	椢
蠲	椈
桡	橈
瓤	棊
唢	桾
怃	憮
沆	梍
泫	梺
鲛	鮫
骝	梠
蚍	梹
亍	檮
嚯	梛
旮	條
砣	桿
疡	瘍
帔	桙
猕	栫
呖	桍
骖	驂
疴	痾
懔	懍
崐	栞
郓	檜
刿	柧
舢	柆
缃	柎
桉	枹
赀	貲
屺	柮
癯	柤
龋	枴
搠	枅
铣	銑
冼	枡
辎	輜
胪	臚
矾	礬
堞	枦
茔	枌
橥	枩
氅	杤
沔	杣
镁	杙
澶	朷
觯	朸
阃	杁
娌	朿
嫘	朮
喈	朞
鼍	朖
泷	滝
鲇	鮎
粑	朏
偓	曵
殽	曠
蘼	曚
厝	暸
俇	暼
鼙	曉
侔	暘
戆	暎
墉	暃
虺	晢
椤	晧
旯	晝
岿	晉
酽	晄
擀	昜
鹌	旡
硌	旙
聱	旛
垆	斷
鳝	變
妯	斂
飧	喰
馐	數
阋	鬩
韫	敘
焐	敍
暌	攷
蚝	攴
笤	攜
锟	擽
髹	擴
轭	軛
藿	擶
赜	擡
芰	舉
畲	擧
傧	據
嫽	攪
猓	摎
脔	臠
潋	瀲
伛	傴
羼	搨
珰	搗
郅	攝
鲵	鯢
鳍	鰭
坼	搆
坻	搖
琬	掵
痫	癇
